Date,Category,UAH
2023-02-15 09:45:00.159,Адмін,100000.0
2023-02-18 12:04:00.484,Загальні донати,10.0
2023-02-21 16:31:00.562,Загальні донати,9000.0
2023-02-22 01:01:00.486,Загальні донати,310.0
2023-02-22 05:04:00.640,Загальні донати,500.0
2023-02-22 06:13:00.721,Загальні донати,2500.0
2023-02-22 07:22:00.802,Загальні донати,500.0
2023-02-22 07:22:00.880,Загальні донати,5000.0
2023-02-22 14:18:00.954,Загальні донати,10000.0
2023-02-23 01:01:00.505,Загальні донати,1300.0
2023-02-24 01:01:00.520,Загальні донати,100.01
2023-02-24 05:49:00.033,Загальні донати,500.0
2023-02-24 13:30:00.115,Загальні донати,20000.0
2023-02-24 15:21:00.189,Загальні донати,500.0
2023-02-24 15:53:00.268,Загальні донати,1000.0
2023-02-25 15:45:00.344,Загальні донати,300.0
2023-02-27 01:01:00.534,Загальні донати,0.01
2023-02-27 01:03:00.547,Загальні донати,600.0
2023-02-27 08:05:00.558,Загальні донати,300.0
2023-02-28 01:40:00.590,Загальні донати,800.0
2023-03-01 12:31:00.424,Загальні донати,500.0
2023-03-02 03:44:00.609,Загальні донати,500.0
2023-03-02 04:33:00.504,Загальні донати,1485.58
2023-03-03 03:13:00.621,Загальні донати,242.0
2023-03-03 04:03:00.508,Загальні донати,195.6
2023-03-03 15:51:00.584,Загальні донати,500.0
2023-03-03 17:47:00.661,Загальні донати,80000.0
2023-03-05 16:06:00.741,Загальні донати,9000.0
2023-03-06 02:18:00.653,Загальні донати,493.5
2023-03-06 03:47:00.668,Загальні донати,107501.0
2023-03-06 04:52:00.818,Загальні донати,782.4
2023-03-06 06:25:00.896,Загальні донати,37000.0
2023-03-06 21:07:00.973,Загальні донати,100.0
2023-03-07 01:02:00.677,Загальні донати,1000.0
2023-03-07 04:20:00.052,Загальні донати,48.9
2023-03-08 01:35:00.690,Загальні донати,1000.0
2023-03-08 06:46:00.128,Загальні донати,800.0
2023-03-08 15:17:00.207,Загальні донати,200.0
2023-03-08 21:29:00.288,Загальні донати,100.0
2023-03-09 03:36:00.701,Загальні донати,19740.0
2023-03-09 08:10:00.365,Загальні донати,50.0
2023-03-09 21:32:00.720,Загальні донати,296.1
2023-03-09 21:33:00.733,Загальні донати,19740.0
2023-03-10 01:01:00.748,Загальні донати,1300.0
2023-03-10 07:29:03.008,Люті пташки,301.0
2023-03-10 07:35:03.084,Люті пташки,50.0
2023-03-10 07:35:03.163,Люті пташки,10.0
2023-03-10 07:35:03.246,Люті пташки,1000.0
2023-03-10 07:35:03.319,Люті пташки,900.0
2023-03-10 07:40:03.010,Люті пташки,500.0
2023-03-10 07:40:03.021,Люті пташки,200.0
2023-03-10 07:40:03.032,Люті пташки,81.0
2023-03-10 07:40:03.035,Люті пташки,100.0
2023-03-10 07:40:03.044,Люті пташки,100.0
2023-03-10 07:40:03.055,Люті пташки,100.0
