Date,Category,UAH
2023-02-15 09:45:00.159,Адмін,100000.0
2023-03-06 03:47:00.668,Загальні донати,107501.0
2023-03-13 13:36:00.752,Загальні донати,163331.4
2023-03-13 14:59:01.656,Люті пташки,100000.0
2023-03-15 10:01:00.857,МЛПК,9943074.0
2023-03-22 06:06:00.220,Загальні донати,225000.0
2023-03-27 10:04:00.320,Адмін,100000.0
2023-03-29 13:22:00.089,Люті пташки,500000.0
2023-03-29 14:18:00.248,Люті пташки,200000.0
2023-03-31 09:34:00.577,Загальні донати,237552.0
2023-03-31 10:02:00.120,МЛПК,662207.4
2023-04-06 11:28:01.990,Люті пташки,100000.0
2023-04-21 07:52:00.390,Загальні донати,100000.0
2023-04-24 13:38:00.306,Люті пташки,110000.0
2023-04-25 05:25:00.357,1000 дронів для України,109961.78
2023-04-25 08:27:00.591,Люті пташки,100000.0
2023-04-26 17:02:00.036,Люті пташки,993461.0
2023-05-03 06:10:00.853,Загальні донати,100000.0
2023-05-03 11:42:00.465,Загальні донати,1316469.6
2023-05-03 11:42:00.569,Загальні донати,146274.4
2023-05-04 13:11:38.484,Люті пташки,1828430.0
2023-05-07 05:15:00.003,Люті пташки,600000.0
2023-05-09 12:39:00.067,Загальні донати,467268.0
2023-05-09 12:39:00.657,Загальні донати,152732.0
2023-05-17 06:04:00.561,Загальні донати,100000.0
2023-05-18 18:49:00.984,Люті пташки,107000.0
2023-05-20 08:15:00.181,Люті пташки,2000000.0
2023-05-25 08:09:00.770,Люті пташки,2000000.0
2023-05-29 06:14:00.776,Люті пташки,2000000.0
2023-05-29 11:09:00.313,Загальні донати,100000.0
2023-06-05 07:36:00.396,Люті пташки,5000000.0
2023-06-07 14:37:00.686,Люті пташки,2000000.0
2023-06-12 23:47:00.348,Дрони для ТРО,500000.0
2023-06-15 11:30:00.574,Люті пташки,100000.0
2023-06-16 12:47:00.915,Люті пташки,100000.0
2023-06-23 08:06:00.737,Люті пташки,2000000.0
2023-06-24 12:11:00.591,Люті пташки,2000000.0
2023-06-24 23:46:00.209,Люті пташки,827466.0
2023-06-25 05:16:00.440,Люті пташки,2000000.0
2023-06-29 12:02:00.839,Адмін,100000.0
2023-07-05 04:52:00.167,Люті пташки,398543.0
2023-07-10 07:29:00.620,Люті пташки,110000.0
2023-07-19 13:51:00.900,Дрони для ТРО,550447.19
2023-07-20 13:45:00.565,Люті пташки,449203.79
2023-07-22 07:22:00.906,Загальні донати,164026.82
2023-07-22 23:29:00.064,Люті пташки,100000.0
2023-07-24 07:22:00.968,Загальні донати,131885.71
