Date,Category,UAH
2023-02-21 20:53:00.428,Адмін,100.0
2023-02-21 20:53:00.446,Адмін,100.0
2023-02-21 20:54:00.457,Адмін,100.0
2023-02-27 20:16:00.573,Адмін,149.0
2023-02-28 10:42:00.241,Адмін,52.5
2023-02-28 10:42:00.402,Адмін,630.0
2023-02-28 10:43:00.319,Адмін,3.0
2023-02-28 10:43:00.466,Адмін,3.0
2023-02-28 10:43:00.543,Адмін,770.0
2023-02-28 10:43:00.624,Адмін,3.0
2023-02-28 10:50:00.701,Адмін,7.04
2023-02-28 10:50:00.804,Адмін,2817.5
2023-02-28 11:11:00.860,Адмін,40609.8
2023-02-28 11:11:00.939,Адмін,3.0
2023-03-02 11:52:00.020,Адмін,3.0
2023-03-02 11:52:00.580,Лопати + Антени + Піротехніка + Планшети,16800.0
2023-03-10 06:00:00.059,Адмін,3.0
2023-03-10 06:00:00.981,Адмін,4113.0
2023-03-14 21:33:00.819,Адмін,20.0
2023-03-15 07:39:00.138,Адмін,572.73
2023-03-15 07:39:00.223,Адмін,3.0
2023-03-15 07:39:00.296,Адмін,47.73
2023-03-15 07:39:00.374,Адмін,3.0
2023-03-15 07:39:00.452,Адмін,700.0
2023-03-15 07:39:00.535,Адмін,3.0
2023-03-15 07:41:00.612,Адмін,6.4
2023-03-15 07:42:00.690,Адмін,2561.36
2023-03-15 12:48:00.884,МЛПК,639509.0
2023-03-15 14:48:00.907,МЛПК,5939892.0
2023-03-16 11:52:00.946,МЛПК,1905000.0
2023-03-22 13:10:00.007,Адмін,3120.0
2023-03-31 02:05:00.092,Адмін,149.0
2023-03-31 02:08:00.109,Адмін,10.0
2023-03-31 05:49:00.474,Адмін,687.27
2023-03-31 05:49:00.554,Адмін,3.0
2023-03-31 05:49:00.633,Адмін,57.27
2023-03-31 05:49:00.707,Адмін,3.0
2023-03-31 05:49:00.785,Адмін,840.0
2023-03-31 05:49:00.865,Адмін,3.0
2023-03-31 05:51:00.024,Адмін,3073.64
2023-03-31 05:51:00.944,Адмін,7.68
2023-03-31 10:03:00.133,МЛПК,1279018.0
2023-04-06 08:01:00.973,Адмін,13176.0
2023-04-10 12:15:00.619,Лопати + Антени + Піротехніка + Планшети,225000.0
2023-04-18 07:02:00.139,Лопати + Антени + Піротехніка + Планшети,34200.0
2023-04-18 09:47:00.201,Адмін,55.26
2023-04-18 09:47:00.279,Адмін,3.0
2023-04-18 09:47:00.367,Адмін,663.16
2023-04-18 09:47:00.433,Адмін,3.0
2023-04-18 09:47:00.512,Адмін,810.53
2023-04-18 09:47:00.588,Адмін,3.0
2023-04-18 09:49:00.671,Адмін,7.41
2023-04-18 09:49:00.745,Адмін,2965.79
2023-04-18 10:07:00.378,Лопати + Антени + Піротехніка + Планшети,71000.04
2023-04-18 10:07:00.822,Адмін,3.0
2023-04-21 14:46:00.974,Адмін,5.0
2023-04-21 14:46:00.996,МЛПК,7500.0
2023-05-01 05:56:00.648,Адмін,729.47
2023-05-01 05:56:00.652,Адмін,3.0
2023-05-01 05:56:00.656,Адмін,49.74
2023-05-01 05:56:00.660,Адмін,596.84
2023-05-01 05:56:00.688,Адмін,3.0
2023-05-01 05:56:00.689,Адмін,3.0
2023-05-01 05:59:00.686,Адмін,6.67
2023-05-01 05:59:00.757,Адмін,2669.21
